Meetup Date,RSVP,Members,Attended
08/18/2018,26,300,
09/23/2019,81,300,
01/01/2020,81,300,30
01/19/2022,165,360,95
02/16/2022,45,375,25
02/24/2022,90,380,55
03/02/2022,161,400,95
04/13/2022,130,450,70
05/10/2022,158,475,65
05/25/2022,69,525,30
06/22/2022,55,610,30
07/25/2022,104,718,55
08/22/2022,225,825,170
09/21/2022,50,890,25
09/28/2022,42,979,15
10/19/2022,72,997,40
10/24/2022,83,999,25
11/30/2022,47,1045,18
1/25/2023,69,1100,28
2/22/2023,51,1155,18
3/22/2023,60,1221,20
6/21/2023,132,1301,40
8/29/2023,89,1342,40
9/20/2023,79,1371,45
11/1/2023,183,1385,45
12/6/2023,250,1425,65